Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,County,Balance
36.364,2220,188,3,50,19,Male,No,No,C,0
15.717,905,93,1,38,16,Male,Yes,Yes,C,0
22.574,1551,134,3,43,13,Female,Yes,Yes,C,98
10.363,2430,191,2,47,18,Female,No,Yes,A,0
28.474,3202,267,5,66,12,Male,No,Yes,C,132
72.945,8603,621,3,64,8,Female,No,No,C,1355
85.425,5182,402,6,60,12,Male,No,Yes,B,218
36.508,6386,469,4,79,6,Female,No,Yes,C,1048
58.063,4221,304,3,50,8,Male,No,No,B,118
25.936,1774,135,2,71,14,Female,No,No,A,0
15.629,2493,186,1,60,14,Male,No,Yes,A,0
41.4,2561,215,2,36,14,Male,No,Yes,C,0
33.657,6196,450,6,55,9,Female,No,No,C,1092
67.937,5184,383,4,63,12,Male,No,Yes,A,345
180.379,9310,665,3,67,8,Female,Yes,Yes,A,1050
10.588,4049,296,1,66,13,Female,No,Yes,C,465
29.725,3536,270,2,52,15,Female,No,No,B,133
27.999,5107,380,1,55,10,Male,No,Yes,C,651
40.885,5013,379,3,46,13,Female,No,Yes,B,549
88.83,4952,360,4,86,16,Female,No,Yes,C,15
29.638,5833,433,3,29,15,Female,No,Yes,A,942
25.988,1349,142,4,82,12,Male,No,No,C,0
39.055,5565,410,4,48,18,Female,No,Yes,C,772
15.866,3085,217,1,39,13,Male,No,No,C,136
44.978,4866,347,1,30,10,Female,No,No,C,436
30.413,3690,299,2,25,15,Female,Yes,No,A,728
16.751,4706,353,6,48,14,Male,Yes,No,A,1255
30.55,5869,439,5,81,9,Female,No,No,B,967
163.329,8732,636,3,50,14,Male,No,Yes,C,529
23.106,3476,257,2,50,15,Female,No,No,C,209
41.532,5000,353,2,50,12,Male,No,Yes,C,531
128.04,6982,518,2,78,11,Female,No,Yes,C,250
54.319,3063,248,3,59,8,Female,Yes,No,C,269
53.401,5319,377,3,35,12,Female,No,No,B,541
36.142,1852,183,3,33,13,Female,No,No,B,0
63.534,8100,581,2,50,17,Female,No,Yes,C,1298
49.927,6396,485,3,75,17,Female,No,Yes,C,890
14.711,2047,167,2,67,6,Male,No,Yes,C,0
18.967,1626,156,2,41,11,Female,No,Yes,A,0
18.036,1552,142,2,48,15,Female,No,No,C,0
60.449,3098,272,4,69,8,Male,No,Yes,C,0
16.711,5274,387,3,42,16,Female,No,Yes,A,863
10.852,3907,296,2,30,9,Male,No,No,C,485
26.37,3235,268,5,78,11,Male,No,Yes,A,159
24.088,3665,287,4,56,13,Female,No,Yes,C,309
51.532,5096,380,2,31,15,Male,No,Yes,C,481
140.672,11200,817,7,46,9,Male,No,Yes,B,1677
42.915,2532,205,4,42,13,Male,No,Yes,A,0
27.272,1389,149,5,67,10,Female,No,Yes,C,0
65.896,5140,370,1,49,17,Female,No,Yes,C,293
55.054,4381,321,3,74,17,Male,No,Yes,A,188
20.791,2672,204,1,70,18,Female,No,No,B,0
24.919,5051,372,3,76,11,Female,No,Yes,B,711
21.786,4632,355,1,50,17,Male,No,Yes,C,580
31.335,3526,289,3,38,7,Female,No,No,C,172
59.855,4964,365,1,46,13,Female,No,Yes,C,295
44.061,4970,352,1,79,11,Male,No,Yes,B,414
82.706,7506,536,2,64,13,Female,No,Yes,A,905
24.46,1924,165,2,50,14,Female,No,Yes,A,0
45.12,3762,287,3,80,8,Male,No,Yes,C,70
75.406,3874,298,3,41,14,Female,No,Yes,A,0
14.956,4640,332,2,33,6,Male,No,No,A,681
75.257,7010,494,3,34,18,Female,No,Yes,C,885
33.694,4891,369,1,52,16,Male,Yes,No,B,1036
23.375,5429,396,3,57,15,Female,No,Yes,C,844
27.825,5227,386,6,63,11,Male,No,Yes,C,823
92.386,7685,534,2,75,18,Female,No,Yes,A,843
115.52,9272,656,2,69,14,Male,No,No,B,1140
14.479,3907,296,3,43,16,Male,No,Yes,C,463
52.179,7306,522,2,57,14,Male,No,No,A,1142
68.462,4712,340,2,71,16,Male,No,Yes,C,136
18.951,1485,129,3,82,13,Female,No,No,C,0
27.59,2586,229,5,54,16,Male,No,Yes,B,0
16.279,1160,126,3,78,13,Male,Yes,Yes,B,5
25.078,3096,236,2,27,15,Female,No,Yes,C,81
27.229,3484,282,6,51,11,Male,No,No,C,265
182.728,13913,982,4,98,17,Male,No,Yes,C,1999
31.029,2863,223,2,66,17,Male,Yes,Yes,A,415
17.765,5072,364,1,66,12,Female,No,Yes,C,732
125.48,10230,721,3,82,16,Male,No,Yes,C,1361
49.166,6662,508,3,68,14,Female,No,No,A,984
41.192,3673,297,3,54,16,Female,No,Yes,C,121
94.193,7576,527,2,44,16,Female,No,Yes,C,846
20.405,4543,329,2,72,17,Male,Yes,No,A,1054
12.581,3976,291,2,48,16,Male,No,Yes,C,474
62.328,5228,377,3,83,15,Male,No,No,C,380
21.011,3402,261,2,68,17,Male,No,Yes,B,182
24.23,4756,351,2,64,15,Female,No,Yes,C,594
24.314,3409,270,2,23,7,Female,No,Yes,C,194
32.856,5884,438,4,68,13,Male,No,No,C,926
12.414,855,119,3,32,12,Male,No,Yes,B,0
41.365,5303,377,1,45,14,Male,No,No,C,606
149.316,10278,707,1,80,16,Male,No,No,B,1107
27.794,3807,301,4,35,8,Female,No,Yes,B,320
13.234,3922,299,2,77,17,Female,No,Yes,C,426
14.595,2955,260,5,37,9,Male,No,Yes,B,204
10.735,3746,280,2,44,17,Female,No,Yes,C,410
48.218,5199,401,7,39,10,Male,No,Yes,A,633
30.012,1511,137,2,33,17,Male,No,Yes,C,0
21.551,5380,420,5,51,18,Male,No,Yes,A,907
160.231,10748,754,2,69,17,Male,No,No,C,1192
13.433,1134,112,3,70,14,Male,No,Yes,C,0
48.577,5145,389,3,71,13,Female,No,Yes,A,503
30.002,1561,155,4,70,13,Female,No,Yes,C,0
61.62,5140,374,1,71,9,Male,No,Yes,C,302
104.483,7140,507,2,41,14,Male,No,Yes,B,583
41.868,4716,342,2,47,18,Male,No,No,C,425
12.068,3873,292,1,44,18,Female,No,Yes,A,413
180.682,11966,832,2,58,8,Female,No,Yes,B,1405
34.48,6090,442,3,36,14,Male,No,No,C,962
39.609,2539,188,1,40,14,Male,No,Yes,A,0
30.111,4336,339,1,81,18,Male,No,Yes,C,347
12.335,4471,344,3,79,12,Male,No,Yes,B,611
53.566,5891,434,4,82,10,Female,No,No,C,712
53.217,4943,362,2,46,16,Female,No,Yes,A,382
26.162,5101,382,3,62,19,Female,No,No,B,710
64.173,6127,433,1,80,10,Male,No,Yes,C,578
128.669,9824,685,3,67,16,Male,No,Yes,A,1243
113.772,6442,489,4,69,15,Male,Yes,Yes,C,790
61.069,7871,564,3,56,14,Male,No,Yes,C,1264
23.793,3615,263,2,70,14,Male,No,No,B,216
89,5759,440,3,37,6,Female,No,No,C,345
71.682,8028,599,3,57,16,Male,No,Yes,C,1208
35.61,6135,466,4,40,12,Male,No,No,C,992
39.116,2150,173,4,75,15,Male,No,No,C,0
19.782,3782,293,2,46,16,Female,Yes,No,C,840
55.412,5354,383,2,37,16,Female,Yes,Yes,C,1003
29.4,4840,368,3,76,18,Female,No,Yes,C,588
20.974,5673,413,5,44,16,Female,No,Yes,C,1000
87.625,7167,515,2,46,10,Female,No,No,B,767
28.144,1567,142,3,51,10,Male,No,Yes,C,0
19.349,4941,366,1,33,19,Male,No,Yes,C,717
53.308,2860,214,1,84,10,Male,No,Yes,C,0
115.123,7760,538,3,83,14,Female,No,No,B,661
101.788,8029,574,2,84,11,Male,No,Yes,C,849
24.824,5495,409,1,33,9,Male,Yes,No,C,1352
14.292,3274,282,9,64,9,Male,No,Yes,C,382
20.088,1870,180,3,76,16,Male,No,No,B,0
26.4,5640,398,3,58,15,Female,No,No,A,905
19.253,3683,287,4,57,10,Male,No,No,B,371
16.529,1357,126,3,62,9,Male,No,No,A,0
37.878,6827,482,2,80,13,Female,No,No,C,1129
83.948,7100,503,2,44,18,Male,No,No,C,806
135.118,10578,747,3,81,15,Female,No,Yes,A,1393
73.327,6555,472,2,43,15,Female,No,No,C,721
25.974,2308,196,2,24,10,Male,No,No,A,0
17.316,1335,138,2,65,13,Male,No,No,B,0
49.794,5758,410,4,40,8,Male,No,No,C,734
12.096,4100,307,3,32,13,Male,No,Yes,C,560
13.364,3838,296,5,65,17,Male,No,No,B,480
57.872,4171,321,5,67,12,Female,No,Yes,C,138
37.728,2525,192,1,44,13,Male,No,Yes,C,0
18.701,5524,415,5,64,7,Female,No,No,A,966
